District,Mandal,Date,Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Mavala,2024-04-14,0.0,5.4
Adilabad,Mavala,2024-04-15,0.0,5.5
Adilabad,Mavala,2024-04-16,0.0,5.5
Adilabad,Mavala,2024-04-17,0.0,3.6
Adilabad,Mavala,2024-04-18,0.0,3.4
Adilabad,Mavala,2024-04-19,0.0,5.6
Adilabad,Mavala,2024-04-20,0.0,7.5
Adilabad,Mavala,2024-04-21,0.0,8.4
Adilabad,Mavala,2024-04-22,0.0,6.7
Adilabad,Mavala,2024-04-23,0.0,9.7
Adilabad,Mavala,2024-04-24,0.0,7.6
Adilabad,Mavala,2024-04-25,0.0,4.1
Adilabad,Mavala,2024-04-26,0.0,3.0
Adilabad,Mavala,2024-04-27,0.0,5.4
Adilabad,Mavala,2024-04-28,0.0,6.1
Adilabad,Mavala,2024-04-29,0.0,3.7
Adilabad,Mavala,2024-04-30,0.0,6.5
Adilabad,Narnoor,2024-04-01,0.0,9.9
Adilabad,Narnoor,2024-04-02,0.0,8.6
Adilabad,Narnoor,2024-04-03,0.0,10.2
Adilabad,Narnoor,2024-04-04,0.0,8.2
Adilabad,Narnoor,2024-04-05,0.0,10.4
Adilabad,Narnoor,2024-04-06,0.0,8.3
Adilabad,Narnoor,2024-04-07,0.0,11.6
Adilabad,Narnoor,2024-04-08,2.6,13.3
Adilabad,Narnoor,2024-04-09,0.0,14.9
Adilabad,Narnoor,2024-04-10,0.0,9.0
Adilabad,Narnoor,2024-04-11,0.0,12.1
Adilabad,Narnoor,2024-04-12,0.0,12.1
Adilabad,Narnoor,2024-04-13,0.0,11.0
Adilabad,Narnoor,2024-04-14,0.0,7.8
Adilabad,Narnoor,2024-04-15,0.0,11.0
Adilabad,Narnoor,2024-04-16,0.0,7.5
Adilabad,Narnoor,2024-04-17,0.0,10.8
Adilabad,Narnoor,2024-04-18,0.0,5.9
Adilabad,Narnoor,2024-04-19,0.0,8.4
Adilabad,Narnoor,2024-04-20,0.0,14.8
Adilabad,Narnoor,2024-04-21,0.0,10.3
Adilabad,Narnoor,2024-04-22,0.0,10.8
Adilabad,Narnoor,2024-04-23,0.0,12.0
Adilabad,Narnoor,2024-04-24,0.0,18.6
Adilabad,Narnoor,2024-04-25,0.0,9.6
Adilabad,Narnoor,2024-04-26,0.0,10.3
Adilabad,Narnoor,2024-04-27,0.0,12.1
Adilabad,Narnoor,2024-04-28,0.0,12.7
Adilabad,Narnoor,2024-04-29,0.0,7.7
Adilabad,Narnoor,2024-04-30,0.0,13.5
Adilabad,Neradigonda,2024-04-01,0.0,10.3
Adilabad,Neradigonda,2024-04-02,0.0,7.4
Adilabad,Neradigonda,2024-04-03,0.9,7.0
Adilabad,Neradigonda,2024-04-04,0.0,7.2
Adilabad,Neradigonda,2024-04-05,0.0,8.6
Adilabad,Neradigonda,2024-04-06,0.0,9.7
Adilabad,Neradigonda,2024-04-07,0.0,8.2
Adilabad,Neradigonda,2024-04-08,0.0,11.8
Adilabad,Neradigonda,2024-04-09,0.0,11.9
Adilabad,Neradigonda,2024-04-10,1.4,4.6
Adilabad,Neradigonda,2024-04-11,0.0,10.3
Adilabad,Neradigonda,2024-04-12,0.0,15.3
Adilabad,Neradigonda,2024-04-13,0.0,5.3
Adilabad,Neradigonda,2024-04-14,0.0,4.8
Adilabad,Neradigonda,2024-04-15,0.0,8.5
Adilabad,Neradigonda,2024-04-16,0.0,12.1
Adilabad,Neradigonda,2024-04-17,0.0,6.5
Adilabad,Neradigonda,2024-04-18,0.0,11.2
Adilabad,Neradigonda,2024-04-19,0.0,9.6
Adilabad,Neradigonda,2024-04-20,0.0,11.5
Adilabad,Neradigonda,2024-04-21,0.0,14.6
Adilabad,Neradigonda,2024-04-22,0.0,11.7
Adilabad,Neradigonda,2024-04-23,0.0,6.3
Adilabad,Neradigonda,2024-04-24,0.0,8.7
Adilabad,Neradigonda,2024-04-25,0.0,7.0
Adilabad,Neradigonda,2024-04-26,0.0,7.7
Adilabad,Neradigonda,2024-04-27,0.0,8.4
Adilabad,Neradigonda,2024-04-28,0.0,7.7
Adilabad,Neradigonda,2024-04-29,0.0,8.6
Adilabad,Neradigonda,2024-04-30,0.0,11.1
Adilabad,Sirikonda,2024-04-01,0.0,13.3
Adilabad,Sirikonda,2024-04-02,0.0,9.2
Adilabad,Sirikonda,2024-04-03,0.0,5.4
Adilabad,Sirikonda,2024-04-04,0.6,10.0
Adilabad,Sirikonda,2024-04-05,0.0,11.1
Adilabad,Sirikonda,2024-04-06,0.0,8.4
Adilabad,Sirikonda,2024-04-07,0.0,4.6
Adilabad,Sirikonda,2024-04-08,0.6,8.1
Adilabad,Sirikonda,2024-04-09,0.0,6.3
Adilabad,Sirikonda,2024-04-10,0.0,7.9
