District,Mandal,Date,Min Wind Speed (Kmph),Max Wind Speed (Kmph),Min Wind Speed (Kmph)_outlier_flag,Max Wind Speed (Kmph)_outlier_flag
Jangaon,Ganpur_Stn,2024-04-01,0.0,8.6,False,False
Jangaon,Ganpur_Stn,2024-04-02,0.0,12.5,False,False
Jangaon,Ganpur_Stn,2024-04-03,0.0,12.1,False,False
Jangaon,Ganpur_Stn,2024-04-04,0.0,14.3,False,False
Jangaon,Ganpur_Stn,2024-04-05,0.0,9.3,False,False
Jangaon,Ganpur_Stn,2024-04-06,0.0,8.7,False,False
Jangaon,Ganpur_Stn,2024-04-07,0.0,13.6,False,False
Jangaon,Ganpur_Stn,2024-04-08,0.0,10.8,False,False
Jangaon,Ganpur_Stn,2024-04-09,3.8,17.6,True,False
Jangaon,Ganpur_Stn,2024-04-10,0.0,15.4,False,False
Jangaon,Ganpur_Stn,2024-04-11,0.0,18.2,False,False
Jangaon,Ganpur_Stn,2024-04-12,0.0,12.9,False,False
Jangaon,Ganpur_Stn,2024-04-13,0.0,16.9,False,False
Jangaon,Ganpur_Stn,2024-04-14,0.0,11.8,False,False
Jangaon,Ganpur_Stn,2024-04-15,0.0,13.3,False,False
Jangaon,Ganpur_Stn,2024-04-16,0.0,10.4,False,False
Jangaon,Ganpur_Stn,2024-04-17,0.0,8.4,False,False
Jangaon,Ganpur_Stn,2024-04-18,0.0,10.6,False,False
Jangaon,Ganpur_Stn,2024-04-19,0.0,8.6,False,False
Jangaon,Ganpur_Stn,2024-04-20,0.0,10.2,False,False
Jangaon,Ganpur_Stn,2024-04-21,0.0,14.8,False,False
Jangaon,Ganpur_Stn,2024-04-22,0.0,8.7,False,False
Jangaon,Ganpur_Stn,2024-04-23,0.0,13.8,False,False
Jangaon,Ganpur_Stn,2024-04-24,0.0,13.2,False,False
Jangaon,Ganpur_Stn,2024-04-25,0.0,9.0,False,False
Jangaon,Ganpur_Stn,2024-04-26,0.0,10.7,False,False
Jangaon,Ganpur_Stn,2024-04-27,0.0,14.8,False,False
Jangaon,Ganpur_Stn,2024-04-28,0.0,12.1,False,False
Jangaon,Ganpur_Stn,2024-04-29,0.0,9.8,False,False
Jangaon,Ganpur_Stn,2024-04-30,0.0,13.5,False,False
